(time [ms])  (comment)

39.711237    load data
 7.184505    design matrix
 5.626202    covariance matrix
 8.427858    ppca init

             ppca reconstruction
 6.239653    k=1
 6.084442    k=2
 6.065845    k=3
 6.061554    k=4
 6.107330    k=5
 6.068230    k=6
 6.125450    k=7
 7.593870    k=8
 6.228924    k=9
 6.202698    k=10
 6.084204    k=11
 6.067514    k=12
 4.841089    k=13
 5.164862    k=14
 5.395174    k=15
 4.147053    k=16
 4.921675    k=17
 5.358934    k=18
 4.930019    k=19
 4.655600    k=20
 4.873514    k=21
 4.836559    k=22
 4.132032    k=23
 5.160570    k=24
 4.625082    k=25
 4.987001    k=26
 4.631996    k=27
 5.905867    k=28
 5.972147    k=29
 6.013632    k=30
 6.101847    k=31
 6.053209    k=32
 6.052256    k=33
 6.071329    k=34
 6.154537    k=35
 6.065369    k=36
 6.102562    k=37
 6.090164    k=38
 6.078959    k=39
 6.130934    k=40
 6.458044    k=41
 6.316662    k=42
 6.431580    k=43
 6.424665    k=44
 6.359100    k=45
 6.290674    k=46
 6.408691    k=47
 6.427050    k=48
